coordenadas,Record Count
null,166282
"25.67291483, -100.3526568",17
"25.68814746, -100.3516575",16
"25.68091592, -100.352066",15
"25.72244742, -100.3922909",15
"25.70485159, -100.3512213",13
"25.67073564, -100.3534322",12
"25.61360694, -100.2711108",12
"25.67313655, -100.2871766",10
"25.6678556, -100.334293",9
"25.73963717, -100.4070747",8
"25.68608977, -100.3168701",7
"25.69633286, -100.3434904",7
"25.71734357, -100.3840695",7
"25.72999895, -100.3458599",7
"25.6971013, -100.3571927",7
"25.68095366, -100.2732993",7
"25.69699595, -100.3545785",7
"25.63698489, -100.3104021",7
"25.68286715, -100.2787505",7
"25.71407329, -100.3627125",7
"25.67555712, -100.3524005",6
"25.72275576, -100.3305843",6
"25.72023048, -100.3883555",6
"25.61105971, -100.2706994",6
"25.68577803, -100.2683517",6
"25.66453391, -100.3156631",6
"25.67868852, -100.3571854",5
"25.67250975, -100.2826626",5
"25.69985132, -100.3625496",5
"25.71865085, -100.3425213",5
"25.67424468, -100.3756382",5
"25.66554117, -100.3207005",5
"25.65150075, -100.2924203",5
"25.66667526, -100.2975204",5
"25.70472203, -100.3423929",5
"25.66382532, -100.3033139",5
"25.68445578, -100.3180228",5
"25.69648894, -100.3168198",5
"25.71454457, -100.3501499",4
"25.69422271, -100.3511869",4
"25.76333422, -100.4072763",4
"25.69147628, -100.2682964",4
"25.66905277, -100.3193993",4
"25.65582718, -100.2951129",4
"25.63137463, -100.3011831",4
"25.73207191, -100.3987778",4
"25.69233468, -100.3167652",4
"25.60862349, -100.2699509",4
"25.66686409, -100.2976227",4
"25.67736328, -100.3170952",4
"25.75969908, -100.3689734",4
"25.63916232, -100.2846465",4
"25.68305915, -100.2615189",4
"25.69019294, -100.3234381",4
"25.74539808, -100.3839382",4
"25.70150365, -100.3714738",4
"25.7041065, -100.3096701",4
"25.66849707, -100.2984939",3
"25.6664418, -100.3265512",3
"25.675262, -100.365329",3
"25.68697595, -100.334148",3
"25.67131103, -100.3150966",3
"25.75920731, -100.4018126",3
"25.66332127, -100.3199948",3
"25.69225915, -100.351413",3
"25.67466806, -100.3586863",3
"25.67791692, -100.3141543",3
"25.7090518, -100.3740767",3
"25.71068322, -100.3130657",3
"25.61976825, -100.2709095",3
"25.66227016, -100.3140174",3
"25.72147319, -100.3606115",3
"25.67480226, -100.3658727",3
"25.6872914, -100.330345",3
"25.66926274, -100.320152",3
"25.7656412, -100.4110209",3
"25.67138707, -100.3803344",3
"25.67361982, -100.3803002",3
"25.67112005, -100.382192",3
"25.67508884, -100.3524397",3
"25.64787002, -100.2900984",3
"25.71215688, -100.364203",3
"25.70528761, -100.3095474",3
"25.73363809, -100.4006722",3
"25.69782577, -100.3250365",3
"25.65474498, -100.2944298",3
"25.66474753, -100.3277699",3
"25.77334918, -100.3802114",3
"25.63360752, -100.2994813",3
"25.67230108, -100.3187819",3
"25.67509677, -100.290022",3
"25.60086458, -100.2652671",3
"25.68112125, -100.3106968",3
"25.6716185, -100.2857453",3
"25.7233389, -100.3935406",3
"25.69524757, -100.2683008",3
"25.6721252, -100.373571",3
"25.63374571, -100.3053943",3
"25.73501675, -100.3777359",3
"25.70402798, -100.3033498",3
"25.672825, -100.352681",3
"25.76271668, -100.4066839",3
"25.68572131, -100.3131051",3
"25.70341065, -100.2682162",3
"25.66415195, -100.3515654",3
"25.64436908, -100.2879025",3
"25.70198957, -100.3713139",3
"25.75320032, -100.3935197",3
"25.68627771, -100.3265282",3
"25.6593223, -100.3362723",3
"25.68563851, -100.3518045",3
"25.68256617, -100.2683499",2
"25.68870891, -100.3522223",2
"25.71207548, -100.377269",2
"25.71350313, -100.3624265",2
"25.68241032, -100.2776951",2
"25.66950872, -100.3142116",2
"25.74535052, -100.3837654",2
"25.73268325, -100.3725545",2
"25.68547076, -100.3275817",2
"25.66160275, -100.3090639",2
"25.67466203, -100.3690649",2
"25.68268628, -100.3337625",2
"25.68355215, -100.3017032",2
"25.69694523, -100.3512648",2
"25.7117348, -100.361249",2
"25.68392284, -100.3519119",2
"25.70733442, -100.3169122",2
"25.77004962, -100.4035166",2
"25.68449115, -100.30155",2
"25.67806775, -100.3237366",2
"25.66275705, -100.2977829",2
"25.60909326, -100.2701997",2
"25.69101141, -100.2958039",2
"25.66638528, -100.302864",2
"25.62718334, -100.2773093",2
"25.67709182, -100.2906976",2
"25.70394831, -100.3264053",2
"25.73125686, -100.3466744",2
"25.71905802, -100.3646698",2
"25.74044563, -100.353457",2
"25.67785855, -100.2976956",2
"25.68159255, -100.3505026",2
"25.67327054, -100.3354619",2
"25.67804947, -100.3317",2
"25.68886329, -100.3136348",2
"25.68384114, -100.320103",2
"25.70438302, -100.3198762",2
"25.63756806, -100.3116641",2
"25.70942963, -100.3424165",2
"25.63834106, -100.3119523",2
"25.70436069, -100.3217315",2
"25.67201571, -100.3150061",2
"25.68321529, -100.3220934",2
"25.69953535, -100.3275643",2
"25.75965366, -100.4019684",2
"25.62378703, -100.2747824",2
"25.6685814, -100.3381418",2
"25.64663952, -100.2749107",2
"25.68369157, -100.285327",2
"25.664925, -100.284179",2
"25.68278386, -100.3104707",2
"25.76509471, -100.3973231",2
"25.69036503, -100.3515222",2
"25.74504044, -100.4102078",2
"25.72897862, -100.3170185",2
"25.671488, -100.291422",2
"25.67022866, -100.3445238",2
"25.69431169, -100.3565468",2
"25.6916789, -100.3142523",2
"25.66267729, -100.2972572",2
"25.75656052, -100.3980959",2
"25.69560728, -100.3289562",2
"25.67409055, -100.3676286",2
"25.725071, -100.342509",2
"25.68003986, -100.3177553",2
"25.67537178, -100.3231165",2
"25.68587755, -100.3228386",2
"25.68427178, -100.3451065",2
"25.67627517, -100.3523511",2
"25.59759058, -100.2627059",2
"25.64074374, -100.3157565",2
"25.712691, -100.308571",2
"25.75483412, -100.3542073",2
"25.68523551, -100.3170266",2
"25.76979502, -100.4191186",2
"25.71719405, -100.3541908",2
"25.65516, -100.291602",2
"25.6266276, -100.2767522",2
"25.76273492, -100.3721051",2
"25.76864595, -100.3679218",2
"25.75158711, -100.391213",2
"25.67008149, -100.3814347",2
"25.75844621, -100.4007665",2
"25.67844311, -100.3110507",2
"25.68371354, -100.2873562",2
"25.67500594, -100.3193983",2
"25.666988, -100.32047",2
"25.67347886, -100.3030467",2
"25.69727243, -100.3730111",2
"25.6996368, -100.3512126",2
"25.59650215, -100.2612271",2
"25.68459788, -100.3025105",2
"25.77842782, -100.3863119",2
"25.61015092, -100.2703938",2
"25.73925374, -100.3784399",2
"25.6814264, -100.3058361",2
"25.68048048, -100.2973169",2
"25.70644137, -100.3168943",2
"25.69695417, -100.3527188",2
"25.67650068, -100.3172066",2
"25.68352317, -100.3249447",2
"25.74068533, -100.3795526",2
"25.67813058, -100.308188",2
"25.66498983, -100.3350618",2
"25.675231, -100.364438",2
"25.68435002, -100.3171589",2
"25.70890285, -100.366657",2
"25.78725668, -100.3775545",2
"25.69670392, -100.3471315",2
"25.62135172, -100.2856126",2
"25.66470965, -100.3166093",2
"25.66299943, -100.3179912",2
"25.77131707, -100.4220701",2
"25.67095778, -100.3100532",2
"25.69618854, -100.3802258",2
"25.66575239, -100.3336847",2
"25.66721595, -100.2843064",2
"25.68381476, -100.3123178",2
"25.62026723, -100.2838757",2
"25.68976945, -100.3143402",2
"25.66703515, -100.3108406",2
"25.66932429, -100.3486387",2
"25.55531766, -100.2316455",2
"25.7146999, -100.3741289",2
"25.69470288, -100.3437159",2
"25.68349311, -100.3519333",2
"25.63365994, -100.2995855",1
"25.69556604, -100.3338072",1
"25.7586009, -100.3563912",1
"25.66993298, -100.3802659",1
"25.6337888, -100.3054255",1
"25.66539192, -100.3196203",1
"25.6723428, -100.3528369",1
"25.67016064, -100.3337076",1
"25.68423139, -100.3161793",1
"25.73052215, -100.316579",1
